HDR,ROLLING SYSTEM DEMAND
VD,20220308220000,32309
VD,20220308220500,32092
VD,20220308221000,31850
VD,20220308221500,31610
VD,20220308222000,31378
VD,20220308222500,31049
VD,20220308223000,30761
VD,20220308223500,30472
VD,20220308224000,30061
VD,20220308224500,29720
VD,20220308225000,29435
VD,20220308225500,29121
VD,20220308230000,28783
VD,20220308230500,28653
VD,20220308231000,28168
VD,20220308231500,27734
VD,20220308232000,27524
VD,20220308232500,27302
VD,20220308233000,26950
VD,20220308233500,26711
VD,20220308234000,26564
VD,20220308234500,26503
VD,20220308235000,26573
VD,20220308235500,26419
VD,20220309000000,26255
VD,20220309000500,26327
VD,20220309001000,26398
VD,20220309001500,26364
VD,20220309002000,26479
VD,20220309002500,26486
VD,20220309003000,26482
VD,20220309003500,26593
VD,20220309004000,26588
VD,20220309004500,26627
VD,20220309005000,26698
VD,20220309005500,26820
VD,20220309010000,26797
VD,20220309010500,26768
VD,20220309011000,26791
VD,20220309011500,26705
VD,20220309012000,26542
VD,20220309012500,26452
VD,20220309013000,26351
VD,20220309013500,26232
VD,20220309014000,26131
VD,20220309014500,26007
VD,20220309015000,26004
VD,20220309015500,25998
VD,20220309020000,25883
VD,20220309020500,25567
VD,20220309021000,25379
VD,20220309021500,25283
VD,20220309022000,25193
VD,20220309022500,25191
VD,20220309023000,25205
VD,20220309023500,25235
VD,20220309024000,25147
VD,20220309024500,25030
VD,20220309025000,24788
VD,20220309025500,24873
VD,20220309030000,24750
VD,20220309030500,24831
VD,20220309031000,25124
VD,20220309031500,25206
VD,20220309032000,25137
VD,20220309032500,25093
VD,20220309033000,24952
VD,20220309033500,24863
VD,20220309034000,24834
VD,20220309034500,24795
VD,20220309035000,24805
VD,20220309035500,24810
VD,20220309040000,24859
VD,20220309040500,25190
VD,20220309041000,25299
VD,20220309041500,25284
VD,20220309042000,25251
VD,20220309042500,25217
VD,20220309043000,25181
VD,20220309043500,25059
VD,20220309044000,25074
VD,20220309044500,25149
VD,20220309045000,25254
VD,20220309045500,25251
VD,20220309050000,25268
VD,20220309050500,25342
VD,20220309051000,25440
VD,20220309051500,25441
VD,20220309052000,25478
VD,20220309052500,25568
VD,20220309053000,25624
VD,20220309053500,25883
VD,20220309054000,26323
VD,20220309054500,26518
VD,20220309055000,26641
VD,20220309055500,26943
VD,20220309060000,27305
VD,20220309060500,27593
VD,20220309061000,28137
VD,20220309061500,28698
VD,20220309062000,29136
VD,20220309062500,29352
VD,20220309063000,29630
VD,20220309063500,29929
VD,20220309064000,30298
VD,20220309064500,30723
VD,20220309065000,31106
VD,20220309065500,31431
VD,20220309070000,31677
VD,20220309070500,31555
VD,20220309071000,31744
VD,20220309071500,31888
VD,20220309072000,32185
VD,20220309072500,32521
VD,20220309073000,32724
VD,20220309073500,32943
VD,20220309074000,33215
VD,20220309074500,33440
VD,20220309075000,33638
VD,20220309075500,33647
VD,20220309080000,33696
VD,20220309080500,34032
VD,20220309081000,34033
VD,20220309081500,33922
VD,20220309082000,33785
VD,20220309082500,33727
VD,20220309083000,33696
VD,20220309083500,33710
VD,20220309084000,33615
VD,20220309084500,33582
VD,20220309085000,33595
VD,20220309085500,33635
VD,20220309090000,33670
VD,20220309090500,33953
VD,20220309091000,34228
VD,20220309091500,34299
VD,20220309092000,34540
VD,20220309092500,34662
VD,20220309093000,34747
VD,20220309093500,34678
VD,20220309094000,34647
VD,20220309094500,34501
VD,20220309095000,34401
VD,20220309095500,34250
VD,20220309100000,34170
VD,20220309100500,34187
VD,20220309101000,34292
VD,20220309101500,34173
VD,20220309102000,34074
VD,20220309102500,34133
VD,20220309103000,34005
VD,20220309103500,33808
VD,20220309104000,33561
VD,20220309104500,33497
VD,20220309105000,33544
VD,20220309105500,33498
VD,20220309110000,33407
VD,20220309110500,33400
VD,20220309111000,33411
VD,20220309111500,33314
VD,20220309112000,33264
VD,20220309112500,33220
VD,20220309113000,33043
VD,20220309113500,32994
VD,20220309114000,32922
VD,20220309114500,32974
